HCR No,Installation Name,Operator,Incident Date,Leak Size (kg),Fluid Phase,Severity
5818 ,ARMADA ,BG INTERNATIONAL,28/01/2010 ,53.0,Condensate,Minor
5819 ,NORTHERN PRODUCER ,PETROFAC FACILITIES MANAGEMENT LTD,14/02/2010 ,4.7,Gas,Significant
5820 ,BRAE A ,MARATHON OIL (UK) LIMITED,05/10/2009 ,94.0,Oil,Significant
5821 ,GANNET ,SHELL U.K. (CENTRAL),07/01/2010 ,15.7,Oil,Minor
5822 ,ARMADA ,BG INTERNATIONAL,30/01/2010 ,0.3,Gas,Minor
5823 ,ARMADA ,BG INTERNATIONAL,03/03/2010 ,0.8,Gas,Minor
5824 ,AUK A ,TALISMAN ENERGY (UK) LIMITED,16/02/2010 ,0.6,Gas,Minor
5825 ,MAERSK CURLEW ,MAERSK COMPANY LIMITED,07/02/2010 ,7.5,Non-Process,Minor
5826 ,LEMAN AP ,SHELL U.K. SOUTHERN OPS,03/02/2010 ,9.0,Condensate,Minor
5827 ,BRENT CHARLIE ,SHELL U.K. NORTHERN OPS,13/02/2010 ,12.0,Oil,Minor
5829 ,MONTROSE ALPHA ,TALISMAN ENERGY (UK) LIMITED,21/02/2010 ,5.5,Gas,Significant
5830 ,Buzzard P Platform ,NEXEN PETROLEUM UK LTD,16/03/2010 ,20.0,Oil,Minor
5831 ,ARMADA ,BG INTERNATIONAL,31/01/2010 ,2.1,Gas,Significant
5832 ,NELSON ,SHELL U.K. (CENTRAL),19/03/2010 ,0.02,Gas,Minor
5833 ,DOUGLAS DD ,BHP BILLITON,22/01/2010 ,0.3,Gas,Minor
5835 ,MAERSK CURLEW ,MAERSK COMPANY LIMITED,17/03/2010 ,0.1,Gas,Minor
5836 ,HAEWENE BRIM ,BLUEWATER ENGINEERING,06/03/2010 ,5.0,Gas,Significant
5837 ,Aoka Mizu ,BLUEWATER ENGINEERING,08/02/2010 ,0.1,Gas,Minor
5838 ,JANICE ,MAERSK OIL NORTH SEA (UK) LTD,14/01/2010 ,4.3,Non-Process,Minor
5839 ,JANICE ,MAERSK OIL NORTH SEA (UK) LTD,25/02/2010 ,1.5,Gas,Significant
5840 ,HAEWENE BRIM ,BLUEWATER ENGINEERING,31/03/2010 ,5.0,Gas,Significant
5841 ,HAEWENE BRIM ,BLUEWATER ENGINEERING,03/04/2010 ,0.3,Gas,Minor
5842 ,MAERSK CURLEW ,MAERSK COMPANY LIMITED,10/04/2010 ,36.0,Condensate,Significant
5843 ,SCOTT JU ,NEXEN PETROLEUM UK LTD,12/04/2010 ,6.9,Gas,Significant
5844 ,JUDY ,CONOCO PHILLIPS,09/04/2010 ,83.0,Non-Process,Minor
5845 ,DUNLIN ALPHA ,AMEC NATURAL RESOURCES ,12/02/2010 ,11.0,Gas,Significant
5846 ,DUNLIN ALPHA ,AMEC NATURAL RESOURCES ,04/02/2010 ,0.7,Gas,Minor
5847 ,GANNET ,SHELL U.K. (CENTRAL),10/03/2010 ,22.7,Gas,Significant
5848 ,NELSON ,SHELL U.K. (CENTRAL),23/03/2010 ,1.6,Gas,Significant
5850 ,BRENT CHARLIE ,SHELL U.K. NORTHERN OPS,26/04/2010 ,4600.0,Gas,Major
5851 ,GANNET ,SHELL U.K. (CENTRAL),16/03/2010 ,8.8,Oil,Minor
5852 ,LEMAN 49_27G ,PERENCO UK LIMITED,22/02/2010 ,40.2,Gas,Significant
5853 ,INDE 49/23AC ,PERENCO UK LIMITED,19/02/2010 ,0.2,Gas,Minor
5854 ,BALMORAL ,PREMIER OIL,06/05/2010 ,4.5,Gas,Minor
5855 ,OCEAN PRINCESS ,DIAMOND OFFSHORE DRILLING,15/05/2010 ,15.4,Non-Process,Minor
5857 ,HAEWENE BRIM ,BLUEWATER ENGINEERING,11/05/2010 ,71.3,Non-Process,Significant
5859 ,ARBROATH ,TALISMAN ENERGY (UK) LIMITED,17/05/2010 ,1.6,Oil,Minor
5860 ,SCOTT JD ,NEXEN PETROLEUM UK LTD,06/06/2010 ,42.5,Non-Process,Minor
5861 ,NORTH CORMORANT ,TAQA BRATANI LTD,15/04/2010 ,981.5,Oil,Significant
5862 ,CORMORANT ALPHA ,TAQA BRATANI LTD,30/05/2010 ,4.3,Gas,Significant
5863 ,PETROJARL FOINAVEN ,TEEKAY PETROJARL PRODUCTION AS,31/05/2010 ,20.0,Non-Process,Minor
5865 ,MAERSK CURLEW ,MAERSK COMPANY LIMITED,05/06/2010 ,59.0,Condensate,Minor
5866 ,CORMORANT ALPHA ,TAQA BRATANI LTD,08/01/2010 ,1.7,Gas,Minor
5868 ,MURCHISON ,CNR (CANADIAN NATIONAL RESOURCE),28/04/2010 ,10.3,Non-Process,Minor
5870 ,CLIPPER PW ,SHELL U.K. SOUTHERN OPS,23/03/2010 ,0.01,Gas,Minor
5871 ,CLIPPER PM ,SHELL U.K. SOUTHERN OPS,24/02/2010 ,0.02,Gas,Minor
5872 ,NINIAN CENTRAL ,CNR (CANADIAN NATIONAL RESOURCE),01/05/2010 ,2.0,Gas,Minor
